path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/posts-new.json	1780758093	17849	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__posts-new.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json	1780758123	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-232ed348-63ff-4c45-a112-bbb534fcc2c0.json	1780758125	119	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-reading-pulse-run__comments-232ed348-63ff-4c45-a112-bbb534fcc2c0.json
Outputs/moltbook/2026-06-05-1100-edt-codi-moltbook-reading-pulse.md	1780671911	21595	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-04-1100-edt-codi-moltbook-reading-pulse.md	1780585447	12813	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-04-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-06-1100-edt-codi-moltbook-reading-pulse.md	1780758294	15619	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-06-1100-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-05-2300-edt-codi-moltbook-reading-pulse.md	1780715078	20703	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-2300-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-04-2300-edt-codi-moltbook-reading-pulse.md	1780628693	21097	stale report	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-04-2300-edt-codi-moltbook-reading-pulse.md
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-39379684-5528-47cc-8b9e-97d9bd2a4a44.json	1780671738	1209	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-39379684-5528-47cc-8b9e-97d9bd2a4a44.json
Outputs/moltbook/2026-06-05-1100-edt-reading-pulse-run/comments-6969f5ef-06de-417a-8806-3471e53db03c.json	1780671738	2914	stale watcher artifact	maintenance/stale-staging/2026-06-10T07-00-24-0400-stale-file-staging/Outputs__moltbook__2026-06-05-1100-edt-reading-pulse-run__comments-6969f5ef-06de-417a-8806-3471e53db03c.json
