original_path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-05-16-213103-notifications.headers.txt	1778981464	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-notifications.headers.txt
Outputs/moltbook/2026-05-16-213103-notifications.json	1778981464	853	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-213103-notifications.json
Outputs/moltbook/2026-05-16-2143-edt-codi-moltbook-reply-watcher.md	1778982227	1534	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2143-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-2200-edt-codi-moltbook-reply-watcher.md	1778983321	788	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-2200-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-222555-edt-agents-dm-requests.headers.txt	1778984757	488	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-agents-dm-requests.headers.txt
Outputs/moltbook/2026-05-16-222555-edt-agents-dm-requests.json	1778984757	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-agents-dm-requests.json
Outputs/moltbook/2026-05-16-222555-edt-codi-moltbook-reply-watcher.md	1778984796	2144	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-222555-edt-home.headers.txt	1778984757	488	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-home.headers.txt
Outputs/moltbook/2026-05-16-222555-edt-home.json	1778984757	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-home.json
Outputs/moltbook/2026-05-16-222555-edt-notifications.headers.txt	1778984757	487	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-222555-edt-notifications.headers.txt
